epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.865,1.97998,0.17143,0.71429,1.92361,0.000233509,0.000233509,0.000233509
2,21.6548,1.91879,0.4,0.88571,1.81691,0.000466841,0.000466841,0.000466841
3,28.1852,1.85958,0.37143,0.88571,1.70129,0.000695461,0.000695461,0.000695461
4,34.72,1.81451,0.45714,0.88571,1.5536,0.000692794,0.000692794,0.000692794
5,41.9402,1.7177,0.68571,0.91429,1.46209,0.000685726,0.000685726,0.000685726
6,49.4342,1.60154,0.62857,0.94286,1.25078,0.000678657,0.000678657,0.000678657
7,56.9902,1.57888,0.8,1,0.90207,0.000671588,0.000671588,0.000671588
8,64.9135,1.42375,0.77143,1,0.75009,0.00066452,0.00066452,0.00066452
9,74.0702,1.27378,0.8,1,0.64278,0.000657451,0.000657451,0.000657451
10,82.5147,1.1612,0.82857,1,0.51971,0.000650383,0.000650383,0.000650383
11,90.7647,0.99284,0.82857,1,0.41906,0.000643314,0.000643314,0.000643314
12,100.18,0.98011,0.97143,1,0.25082,0.000636245,0.000636245,0.000636245
13,110.15,0.84128,0.97143,1,0.20106,0.000629177,0.000629177,0.000629177
14,119.375,0.7819,0.94286,1,0.22492,0.000622108,0.000622108,0.000622108
15,130.19,0.64777,0.97143,1,0.14388,0.00061504,0.00061504,0.00061504
16,140.41,0.58777,0.97143,1,0.08123,0.000607971,0.000607971,0.000607971
17,152.4,0.51989,0.97143,1,0.12779,0.000600902,0.000600902,0.000600902
18,162.789,0.44461,0.97143,1,0.1394,0.000593834,0.000593834,0.000593834
19,174.078,0.41498,0.94286,1,0.12476,0.000586765,0.000586765,0.000586765
20,183.989,0.34754,1,1,0.04923,0.000579697,0.000579697,0.000579697
21,194.199,0.35097,0.97143,1,0.12406,0.000572628,0.000572628,0.000572628
22,204.154,0.32002,0.97143,1,0.11129,0.000565559,0.000565559,0.000565559
23,214.759,0.29678,0.97143,1,0.13752,0.000558491,0.000558491,0.000558491
24,225.71,0.27855,0.97143,1,0.06761,0.000551422,0.000551422,0.000551422
25,236.824,0.22511,0.97143,1,0.11542,0.000544354,0.000544354,0.000544354
26,246.164,0.25496,0.97143,1,0.07158,0.000537285,0.000537285,0.000537285
27,256.699,0.18005,0.97143,1,0.02829,0.000530216,0.000530216,0.000530216
28,266.243,0.1891,1,1,0.00742,0.000523148,0.000523148,0.000523148
29,276.479,0.18246,1,1,0.02041,0.000516079,0.000516079,0.000516079
30,286.494,0.24923,0.97143,1,0.10784,0.000509011,0.000509011,0.000509011
31,296.984,0.10734,0.97143,1,0.08672,0.000501942,0.000501942,0.000501942
32,307.014,0.19212,0.97143,1,0.08338,0.000494873,0.000494873,0.000494873
33,317.323,0.16689,1,1,0.00776,0.000487805,0.000487805,0.000487805
34,327.691,0.15726,1,1,0.00588,0.000480736,0.000480736,0.000480736
35,338.939,0.11896,1,1,0.00715,0.000473668,0.000473668,0.000473668
36,349.744,0.15006,1,1,0.01812,0.000466599,0.000466599,0.000466599
37,360.409,0.12351,0.97143,1,0.03728,0.00045953,0.00045953,0.00045953
38,371.644,0.14534,0.97143,1,0.09284,0.000452462,0.000452462,0.000452462
39,382.114,0.1521,0.97143,1,0.10092,0.000445393,0.000445393,0.000445393
40,393.791,0.13653,0.97143,1,0.09242,0.000438325,0.000438325,0.000438325
41,405.005,0.14768,1,1,0.03961,0.000431256,0.000431256,0.000431256
42,414.733,0.12722,0.97143,1,0.07814,0.000424187,0.000424187,0.000424187
43,425.827,0.18283,1,1,0.05544,0.000417119,0.000417119,0.000417119
44,436.399,0.05879,0.97143,1,0.05219,0.00041005,0.00041005,0.00041005
45,446.559,0.07939,0.97143,1,0.09851,0.000402982,0.000402982,0.000402982
46,457.186,0.21109,0.97143,1,0.12056,0.000395913,0.000395913,0.000395913
47,468.639,0.05221,0.97143,1,0.07752,0.000388844,0.000388844,0.000388844
48,479.304,0.07833,0.97143,1,0.04113,0.000381776,0.000381776,0.000381776
49,489.293,0.10219,0.97143,1,0.03182,0.000374707,0.000374707,0.000374707
50,501.478,0.06538,0.97143,1,0.05886,0.000367639,0.000367639,0.000367639
51,510.884,0.06605,0.97143,1,0.04578,0.00036057,0.00036057,0.00036057
52,522.218,0.06933,0.97143,1,0.10225,0.000353501,0.000353501,0.000353501
53,531.893,0.11639,0.94286,1,0.24403,0.000346433,0.000346433,0.000346433
54,542.658,0.03513,0.94286,1,0.20108,0.000339364,0.000339364,0.000339364
55,553.343,0.0891,0.94286,1,0.12825,0.000332296,0.000332296,0.000332296
56,564.058,0.08498,0.97143,1,0.07644,0.000325227,0.000325227,0.000325227
57,574.293,0.04052,0.97143,1,0.0806,0.000318158,0.000318158,0.000318158
58,584.433,0.07842,0.97143,1,0.04727,0.00031109,0.00031109,0.00031109
59,593.953,0.0391,0.97143,1,0.03475,0.000304021,0.000304021,0.000304021
60,604.553,0.06099,0.97143,1,0.05998,0.000296953,0.000296953,0.000296953
61,615.328,0.05385,0.97143,1,0.05277,0.000289884,0.000289884,0.000289884
62,625.598,0.06912,0.97143,1,0.04606,0.000282815,0.000282815,0.000282815
63,635.718,0.13258,0.97143,1,0.07556,0.000275747,0.000275747,0.000275747
64,645.771,0.08154,0.97143,1,0.05929,0.000268678,0.000268678,0.000268678
65,656.498,0.03834,0.97143,1,0.07166,0.00026161,0.00026161,0.00026161
66,666.548,0.03852,0.97143,1,0.09848,0.000254541,0.000254541,0.000254541
